Customer ID,Churn Category
9938-EKRGF,1
7379-POKDZ,5
0654-HMSHN,5
2045-BMBTJ,5
0701-TJSEF,1
1226-UDFZR,2
9225-BZLNZ,5
2754-SDJRD,1
2254-DLXRI,5
3629-ZNKXA,1
2636-SJDOU,2
0921-OHLVP,5
6689-VRRTK,5
2858-EIMXH,5
5175-WLYXL,5
0643-OKLRP,5
3097-PYWXL,5
5968-VXZLG,5
9029-FEGVJ,5
4661-NJEUX,5
6620-JDYNW,5
7605-BDWDC,1
5136-GFPMB,5
6261-LHRTG,5
7033-CLAMM,5
6821-BUXUX,5
4072-IPYLT,5
4134-BSXLX,4
0895-DQHEW,5
9313-CDOGY,5
3771-PZOBW,5
5307-DZCVC,5
1729-VLAZJ,5
7558-IMLMT,1
3389-KTRXV,2
4800-VHZKI,5
6429-SHBCB,5
2592-YKDIF,5
0980-FEXWF,5
8670-MEFCP,5
4664-NJCMS,1
7319-ZNRTR,5
3877-JRJIP,5
1552-TKMXS,5
6297-NOOPG,5
1919-RTPQD,5
1088-CNNKB,1
2187-PKZAY,5
2466-NEJOJ,5
2969-VAPYH,1
4971-PUYQO,1
9638-JIQYA,5
3251-YMVWZ,5
8680-CGLTP,0
6521-YYTYI,5
9314-IJWSQ,5
9953-ZMKSM,1
6265-SXWBU,5
4223-WOZCM,4
9619-GSATL,5
0129-KPTWJ,5
7010-BRBUU,5
1303-SRDOK,5
5394-SVGJV,1
5726-CVNYA,5
0567-XRHCU,5
5299-SJCZT,5
3091-FYHKI,0
5515-IDEJJ,5
9644-KVCNC,5
5233-AOZUF,5
2812-SFXMJ,5
3156-QLHBO,5
4445-KWOKW,1
4250-ZBWLV,5
9847-HNVGP,5
0022-TCJCI,5
6180-YBIQI,5
1099-GODLO,5
7228-PAQPD,5
3336-JORSO,2
0946-FKYTX,1
8642-GVWRF,0
4398-HSCJH,5
0962-CQPWQ,5
8984-HPEMB,5
7102-JJVTX,5
2207-QPJED,5
5923-GXUOC,5
6261-RCVNS,5
1442-OKRJE,5
4018-PPNDW,5
9025-ZRPVR,5
7845-URHJN,5
4302-ZYFEL,1
3415-TAILE,1
4007-NHVHI,5
4140-WJAWW,5
8869-LIHMK,1
4822-NGOCH,5
2637-FKFSY,5
0303-UNCIP,5
6870-ECSHE,5
7567-ECMCM,5
5575-GNVDE,5
3106-ULWFW,4
4451-RWASJ,5
4508-OEBEY,5
3146-JTQHR,1
8757-TFHHJ,5
1163-VIPRI,5
3258-SYSWS,5
9867-NNXLC,5
8207-VVMYB,5
4487-ZYJZK,5
1355-KUSBG,1
7799-LGRDP,5
5981-ZVXOT,5
4955-VCWBI,1
4659-NZRUF,5
4588-YBNIB,5
0880-FVFWF,5
6770-XUAGN,1
0485-ZBSLN,5
3597-YASZG,5
2971-SGAFL,5
4424-TKOPW,5
7694-VLBWQ,5
9871-ELEYA,5
4020-KIUDI,5
3318-ISQFQ,5
0895-LNKRC,5
7349-ALMUX,5
6374-NTQLP,5
3096-JRDSO,5
9018-PCIOK,5
9436-ZBZCT,5
4685-TFLLS,3
5707-ORNDZ,1
5248-RPYWW,5
8714-CTZJW,5
6689-KXGBO,5
5126-RCXYW,5
7460-ITWWP,5
9909-DFRJA,5
7134-HBPBS,5
0734-OXWBT,5
4815-GBTCD,5
7020-OZKXZ,1
3133-PZNSR,5
9385-EHGDO,5
8644-XYTSV,5
7547-EKNFS,5
9700-ISPUP,5
9831-BPFRI,0
5481-NTDOH,5
7180-PISOG,1
2692-BUCFV,5
3354-OADJP,5
6680-NENYN,5
3387-PLKUI,1
9894-EZEWG,5
3061-BCKYI,2
4323-ELYYB,2
1333-PBMXB,2
4945-RVMTE,5
9508-ILZDG,5
6927-WTFIV,1
6339-YPSAH,5
9754-CLVZW,5
2809-ILCYT,5
3870-MQAMG,1
2212-LYASK,2
2800-VEQXM,5
0298-XACET,5
0428-AXXLJ,5
7993-PYKOF,5
6608-QQLVK,1
1577-HKTFG,5
6348-SNFUS,1
1230-QAJDW,5
7395-XWZOY,5
6281-FKEWS,5
9355-NPPFS,2
7055-JCGNI,5
8383-SGHJU,5
9025-AOMKI,5
3521-HTQTV,5
1907-YLNYW,5
6416-YJTTB,5
2511-ALLCS,5
4129-LYCOI,1
8652-YHIYU,5
9067-YGSCA,5
9552-TGUZV,5
6072-NUQCB,5
2219-MVUSO,5
8067-NIOYM,0
8155-IBNHG,5
4833-QTJNO,5
3627-FCRDW,5
9332-GYWLO,5
8314-HTWVE,5
3836-FZSDJ,5
0248-PGHBZ,5
6388-TABGU,5
9066-QRSDU,1
5914-DVBWJ,5
8582-KRHPJ,5
4548-SDBKE,5
0458-HEUZG,5
5329-KRDTM,5
8949-JTMAY,5
5376-PCKNB,1
5740-YHGTW,5
4869-EPIUS,1
2968-SSGAA,5
8874-EJNSR,5
5343-SGUBI,2
1022-RKXDR,5
5043-TRZWM,5
4854-CIDCF,5
2625-TRCZQ,5
1555-DJEQW,5
9734-UYXQI,5
8401-EMUWF,5
8847-GEOOQ,5
9762-YAQAA,1
0925-VYDLG,5
7277-KAMWT,5
4277-BWBML,5
9681-KYGYB,5
8592-PLTMQ,5
3551-GAEGL,5
7824-PANSQ,5
8571-ZCMCX,1
0505-SPOOW,5
7036-TYDEC,5
4910-GMJOT,5
1169-WCVAK,5
5321-NTRKC,5
0520-FDVVT,5
7636-XUHWW,1
3946-JEWRQ,5
7860-UXCRM,5
8106-GWQOK,5
1728-CXQBE,1
5825-XJOCM,1
1469-LBJQJ,1
5989-AXPUC,5
3633-CDBUW,5
5995-WWKKG,5
2404-JIBFC,5
1431-CYWMH,5
5816-SCGFC,5
4779-ZGICK,5
8735-NBLWT,5
6933-VLYFX,5
4987-GQWPO,5
1488-PBLJN,5
9944-AEXBM,5
1031-IIDEO,5
9767-FFLEM,5
7872-RDDLZ,5
1150-FTQGN,5
5561-NWEVX,5
6145-NNPNO,5
2506-CLAKW,5
4415-IJZTP,5
2578-JQPHZ,5
2798-NYLMZ,5
6258-NGCNG,5
3643-AHCFP,5
1222-KJNZD,5
7850-THJMU,5
6987-XQSJT,5
7963-GQRMY,5
3696-XRIEN,5
4484-CGXFK,5
0665-XHDJU,5
8280-MQRQN,5
1698-XFZCI,5
9585-KKMFD,5
9117-SHLZX,5
2878-DHMIN,5
1346-UFHAX,5
0439-IFYUN,5
2541-YGPKE,5
7740-BTPUX,5
1075-BGWOH,1
6681-ZSEXG,5
8378-LKJAF,5
5598-IKHQQ,5
4647-MUZON,5
8665-UTDHZ,5
3853-LYGAM,5
6007-TCTST,1
